Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2007,77.549,2970017.0,206.23263305269998,612514426.1212808
Andorra,2007,,81877.0,2414.7482177698002,197712339.82633793
Austria,2007,80.1804878048781,8295487.0,4344.63,36040821684.81
Belarus,2007,70.2073170731707,9560953.0,262.87,2513287715.11
Belgium,2007,79.7829268292683,10625700.0,3942.9301708948,41896393116.87688
Bosnia and Herzegovina,2007,76.161,4013424.0,353.08,1417059745.9199998
Bulgaria,2007,72.6634146341463,7545338.0,350.17,2642151007.46
Croatia,2007,75.7056097560976,4310217.0,1009.77,4352327820.09
Cyprus,2007,78.81,1072714.0,1643.18,1762662190.52
Czechia,2007,76.7243902439025,10298828.0,1076.8713366677998,11090512674.471764
Denmark,2007,78.1951219512195,5461438.0,5303.96,28967248694.48
Estonia,2007,72.8146341463415,1340680.0,840.5044671595999,1126847529.0315325
Finland,2007,79.2634146341464,5288720.0,3801.43,20104698869.6
France,2007,81.1121951219512,64016890.0,4182.941230473601,267778888627.69315
Germany,2007,79.5341463414634,82266372.0,4057.4285351611,333789925236.97815
Greece,2007,79.4390243902439,11048473.0,2353.9567358356,26007627439.047756
Hungary,2007,73.1512195121951,10055780.0,972.91,9783368919.8
Iceland,2007,81.4536585365854,311566.0,5626.0,1752870316.0
Ireland,2007,79.6414634146341,4398942.0,4712.8856689441,20731710710.316296
Italy,2007,81.4341463414634,58438310.0,3000.21,175327202045.1
Latvia,2007,71.019512195122,2200325.0,751.75,1654094318.75
Lithuania,2007,70.9,3231294.0,682.88,2206586046.72
Luxembourg,2007,79.3829268292683,479993.0,6470.87,3105972303.91
Moldova,2007,68.947,2874299.0,130.95,376389454.04999995
Monaco,2007,,31837.0,6817.584374999999,217051433.746875
Netherlands,2007,80.0975609756098,16381696.0,4555.12,74620591083.52
North Macedonia,2007,73.8,1982933.0,255.10999999999999,505866037.63
Norway,2007,80.3951219512195,4709153.0,6689.12,31500089515.36
Poland,2007,75.2439024390244,38120560.0,641.17,24441759455.199997
Portugal,2007,78.3219512195122,10542964.0,2049.61,21608964444.04
Romania,2007,72.5658536585366,20882982.0,402.55,8406444404.1
Russian Federation,2007,67.5868292682927,142805114.0,448.14,63996683787.96
San Marino,2007,,31211.0,3562.0590551776,111175425.17114808
Serbia,2007,73.6317073170732,7381579.0,530.8104168732999,3918219026.1731963
Slovakia,2007,74.2073170731707,5374622.0,998.13,5364571456.86
Slovenia,2007,78.5609756097561,2018122.0,1742.12,3515810698.64
Spain,2007,80.8731707317073,45226803.0,2528.0894970690997,114337405650.31325
Sweden,2007,80.9,9148092.0,4180.7,38245428224.4
Switzerland,2007,81.7414634146342,7551117.0,5970.06203125,45080636895.2264
Ukraine,2007,68.2221951219512,47062798.0,180.42,8491070015.16
United Kingdom,2007,79.4487804878049,61322463.0,4236.5095751941,259793201673.9859
