Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2010,77.936,2913021.0,217.0204628005,632185165.5675753
Andorra,2010,,80706.0,3143.9870971685,253738622.66408095
Austria,2010,80.5804878048781,8363404.0,4080.85,34129797213.399998
Belarus,2010,70.4048780487805,9483836.0,283.05,2684399779.8
Belgium,2010,80.1829268292683,10895586.0,3851.3786376985,41963027165.60685
Bosnia and Herzegovina,2010,77.073,3811472.0,345.09999999999997,1315338987.1999998
Bulgaria,2010,73.5121951219512,7395599.0,412.25,3048835687.75
Croatia,2010,76.4756097560976,4295427.0,957.1,4111153181.7000003
Cyprus,2010,79.665,1127816.0,1738.25,1960426162.0
Czechia,2010,77.4243902439025,10474410.0,1288.641296383,13497757281.247059
Denmark,2010,79.1,5547683.0,5245.349999999999,29099539024.049995
Estonia,2010,75.4292682926829,1331475.0,821.261709593,1093489434.7803397
Finland,2010,79.8707317073171,5363352.0,3614.2,19384226798.399998
France,2010,81.6634146341463,65026211.0,3903.525805663,253831492682.98724
Germany,2010,79.9878048780488,81776930.0,3919.70859375,320541735291.4922
Greece,2010,80.3878048780488,11121341.0,2179.7139770545,24241342421.28927
Hungary,2010,74.2073170731707,10000023.0,835.55,8355519217.65
Iceland,2010,81.8975609756097,318041.0,3070.2,976449478.1999999
Ireland,2010,80.7439024390244,4560155.0,4363.4368164105,19897948215.53842
Italy,2010,82.0365853658537,59277417.0,2735.2999999999997,162141518720.09998
Latvia,2010,73.4829268292683,2097555.0,585.65,1228433085.75
Lithuania,2010,73.2682926829268,3097282.0,684.25,2119315208.5
Luxembourg,2010,80.6317073170732,506953.0,6341.0,3214588973.0
Moldova,2010,69.357,2862354.0,168.29999999999998,481734178.1999999
Monaco,2010,,33163.0,6811.089013674,225876144.96047086
Netherlands,2010,80.7024390243902,16615394.0,4413.2,73327056800.8
North Macedonia,2010,74.9975609756098,1946298.0,256.7,499614696.59999996
Norway,2010,80.9975609756098,4889252.0,6681.0,32665092612.0
Poland,2010,76.2463414634146,38042794.0,687.65,26160127294.1
Portugal,2010,79.0268292682927,10573100.0,1920.1499999999999,20301937965.0
Romania,2010,73.4585365853659,20246871.0,401.2,8123044645.2
Russian Federation,2010,68.8412195121951,142849468.0,481.95,68846301102.59999
San Marino,2010,,33270.0,3140.8778320355,104497005.47182108
Serbia,2010,74.3365853658537,7291436.0,463.53373107949994,3379826534.007385
Slovakia,2010,75.1121951219512,5391428.0,1102.45,5943779798.6
Slovenia,2010,79.4219512195122,2048583.0,1714.45,3512193124.35
Spain,2010,81.6268292682927,46576897.0,2371.1916259755,110442748130.32338
Sweden,2010,81.4512195121951,9378126.0,3753.6,35201733753.6
Switzerland,2010,82.2463414634147,7824909.0,6494.3818359375,50817946877.46387
Ukraine,2010,70.2653658536586,46456003.0,172.54999999999998,8015983317.65
United Kingdom,2010,80.4024390243902,62766365.0,3362.930578617,211078928167.1358
