Country,Year,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2017,79.047,2873457.0,288.53811584700003,829101868.7473731
Andorra,2017,,73763.0,2787.0972583026,205584655.06417468
Austria,2017,81.6439024390244,8797566.0,4790.83,42147643119.78
Belarus,2017,74.1292682926829,9458989.0,315.25,2981946282.25
Belgium,2017,81.4926829268293,11375158.0,4639.1675634801995,52771264023.0623
Bosnia and Herzegovina,2017,76.935,3428682.0,455.9,1563136123.8
Bulgaria,2017,74.8146341463415,7075947.0,606.25,4289792868.75
Croatia,2017,77.8268292682927,4041407.0,875.91,3539908805.37
Cyprus,2017,81.328,1254275.0,1719.81,2157114687.75
Czechia,2017,78.9780487804878,10594438.0,1479.5874633782998,15675397646.338669
Denmark,2017,81.1024390243903,5764980.0,5658.98,32623906520.399998
Estonia,2017,78.0926829268293,1317384.0,1309.6226708948,1725275952.6740751
Finland,2017,81.6317073170732,5508214.0,4108.92,22632810668.88
France,2017,82.5756097560976,66918020.0,4278.2811474573,286294103391.17053
Germany,2017,80.9926829268293,82657002.0,4918.0899267566,406514568912.10016
Greece,2017,81.2878048780488,10754679.0,1464.491009523,15750130705.805809
Hungary,2017,75.8170731707317,9787966.0,955.4499999999999,9351912114.699999
Iceland,2017,82.6609756097561,343400.0,5766.65,1980267609.9999998
Ireland,2017,82.1560975609756,4807388.0,4859.948657230199,23363658855.384575
Italy,2017,82.9463414634147,60536709.0,2725.7,165004907721.3
Latvia,2017,74.6292682926829,1942248.0,905.01,1757753862.48
Lithuania,2017,75.4804878048781,2828403.0,1050.51,2971265635.53
Luxembourg,2017,82.0951219512195,596336.0,5541.61,3304661540.96
Moldova,2017,70.516,2755189.0,236.68,652098132.52
Monaco,2017,,37678.0,7003.0040429736,263859186.3311593
Montenegro,2017,76.4853658536585,622373.0,593.64,369465507.71999997
Netherlands,2017,81.7609756097561,17131296.0,4786.95,82006657387.2
North Macedonia,2017,75.9536585365854,1898657.0,334.65,635385565.05
Norway,2017,82.609756097561,5276968.0,7581.5199999999995,40007438431.36
Poland,2017,77.7536585365854,37974826.0,882.6999999999999,33520378910.199997
Portugal,2017,81.4243902439025,10300300.0,1938.06,19962599418.0
Romania,2017,75.209756097561,19588715.0,538.35,10545584720.25
Russian Federation,2017,72.4514634146342,145293260.0,562.6,81741988076.0
San Marino,2017,,33825.0,3595.7613452105998,121626627.50174853
Serbia,2017,75.5390243902439,7020858.0,500.3705096431,3513030295.5918355
Slovakia,2017,77.1658536585366,5439232.0,1153.33,6273229442.559999
Slovenia,2017,81.0292682926829,2066388.0,1867.25,3858462993.0
Spain,2017,83.2829268292683,46593236.0,2448.9442700165,114104238323.7265
Sweden,2017,82.409756097561,10057698.0,5662.86,56955335696.28
Switzerland,2017,83.5512195121951,8451840.0,8846.3706347632,74768109185.717
Ukraine,2017,71.7809756097561,45436041.0,181.39,8241643476.99
United Kingdom,2017,81.2560975609756,66058859.0,3793.4897827105997,250593606674.02014
